"REF_DATE","GEO","DGUID","Receipts, payments and balances","Current account and capital account","Countries or regions","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023","Canada","2016A000011124","Payments","Private transfers","All countries","Dollars","81","millions","6","v61914586","1.2.18.1","19071","","","","0"
"2024","Canada","2016A000011124","Payments","Private transfers","All countries","Dollars","81","millions","6","v61914586","1.2.18.1","17677","","","","0"
"2020","Canada","2016A000011124","Payments","Government transfers","All countries","Dollars","81","millions","6","v61914598","1.2.23.1","5619","","","","0"
"2021","Canada","2016A000011124","Payments","Government transfers","All countries","Dollars","81","millions","6","v61914598","1.2.23.1","6841","","","","0"
"2022","Canada","2016A000011124","Payments","Government transfers","All countries","Dollars","81","millions","6","v61914598","1.2.23.1","7521","","","","0"
"2023","Canada","2016A000011124","Payments","Government transfers","All countries","Dollars","81","millions","6","v61914598","1.2.23.1","7563","","","","0"
"2024","Canada","2016A000011124","Payments","Government transfers","All countries","Dollars","81","millions","6","v61914598","1.2.23.1","7004","","","","0"
"2020","Canada","2016A000011124","Payments","Capital account","All countries","Dollars","81","millions","6","v61914608","1.2.27.1","328","","","","0"
"2021","Canada","2016A000011124","Payments","Capital account","All countries","Dollars","81","millions","6","v61914608","1.2.27.1","322","","","","0"
"2022","Canada","2016A000011124","Payments","Capital account","All countries","Dollars","81","millions","6","v61914608","1.2.27.1","971","","","","0"
"2023","Canada","2016A000011124","Payments","Capital account","All countries","Dollars","81","millions","6","v61914608","1.2.27.1","1170","","","","0"
"2024","Canada","2016A000011124","Payments","Capital account","All countries","Dollars","81","millions","6","v61914608","1.2.27.1","877","","","","0"
"2020","Canada","2016A000011124","Balances","Total current account","All countries","Dollars","81","millions","6","v61914609","1.3.1.1","-44789","","","","0"
"2021","Canada","2016A000011124","Balances","Total current account","All countries","Dollars","81","millions","6","v61914609","1.3.1.1","-487","","","","0"
"2022","Canada","2016A000011124","Balances","Total current account","All countries","Dollars","81","millions","6","v61914609","1.3.1.1","-8667","","","","0"
"2023","Canada","2016A000011124","Balances","Total current account","All countries","Dollars","81","millions","6","v61914609","1.3.1.1","-18385","","","","0"
"2024","Canada","2016A000011124","Balances","Total current account","All countries","Dollars","81","millions","6","v61914609","1.3.1.1","-14071","","","","0"
"2020","Canada","2016A000011124","Balances","Goods and services","All countries","Dollars","81","millions","6","v61914617","1.3.2.1","-49062","","","","0"
"2021","Canada","2016A000011124","Balances","Goods and services","All countries","Dollars","81","millions","6","v61914617","1.3.2.1","2613","","","","0"
"2022","Canada","2016A000011124","Balances","Goods and services","All countries","Dollars","81","millions","6","v61914617","1.3.2.1","16214","","","","0"
"2023","Canada","2016A000011124","Balances","Goods and services","All countries","Dollars","81","millions","6","v61914617","1.3.2.1","1981","","","","0"
"2024","Canada","2016A000011124","Balances","Goods and services","All countries","Dollars","81","millions","6","v61914617","1.3.2.1","-8061","","","","0"
"2020","Canada","2016A000011124","Balances","Goods","All countries","Dollars","81","millions","6","v61914625","1.3.3.1","-40647","","","","0"
"2021","Canada","2016A000011124","Balances","Goods","All countries","Dollars","81","millions","6","v61914625","1.3.3.1","3750","","","","0"
"2022","Canada","2016A000011124","Balances","Goods","All countries","Dollars","81","millions","6","v61914625","1.3.3.1","21196","","","","0"
"2023","Canada","2016A000011124","Balances","Goods","All countries","Dollars","81","millions","6","v61914625","1.3.3.1","-610","","","","0"
"2024","Canada","2016A000011124","Balances","Goods","All countries","Dollars","81","millions","6","v61914625","1.3.3.1","-6769","","","","0"
"2020","Canada","2016A000011124","Balances","Services","All countries","Dollars","81","millions","6","v61914635","1.3.5.1","-8414","","","","0"
"2021","Canada","2016A000011124","Balances","Services","All countries","Dollars","81","millions","6","v61914635","1.3.5.1","-1137","","","","0"
"2022","Canada","2016A000011124","Balances","Services","All countries","Dollars","81","millions","6","v61914635","1.3.5.1","-4982","","","","0"
"2023","Canada","2016A000011124","Balances","Services","All countries","Dollars","81","millions","6","v61914635","1.3.5.1","2591","","","","0"
"2024","Canada","2016A000011124","Balances","Services","All countries","Dollars","81","millions","6","v61914635","1.3.5.1","-1292","","","","0"
"2020","Canada","2016A000011124","Balances","Primary income","All countries","Dollars","81","millions","6","v61914683","1.3.11.1","10667","","","","0"
"2021","Canada","2016A000011124","Balances","Primary income","All countries","Dollars","81","millions","6","v61914683","1.3.11.1","1999","","","","0"
"2022","Canada","2016A000011124","Balances","Primary income","All countries","Dollars","81","millions","6","v61914683","1.3.11.1","-20476","","","","0"
"2023","Canada","2016A000011124","Balances","Primary income","All countries","Dollars","81","millions","6","v61914683","1.3.11.1","-12437","","","","0"
"2024","Canada","2016A000011124","Balances","Primary income","All countries","Dollars","81","millions","6","v61914683","1.3.11.1","-1996","","","","0"
"2020","Canada","2016A000011124","Balances","Compensation of employees","All countries","Dollars","81","millions","6","v61914691","1.3.12.1","-5166","","","","0"
"2021","Canada","2016A000011124","Balances","Compensation of employees","All countries","Dollars","81","millions","6","v61914691","1.3.12.1","-5422","","","","0"
"2022","Canada","2016A000011124","Balances","Compensation of employees","All countries","Dollars","81","millions","6","v61914691","1.3.12.1","-8488","","","","0"
"2023","Canada","2016A000011124","Balances","Compensation of employees","All countries","Dollars","81","millions","6","v61914691","1.3.12.1","-13121","","","","0"
"2024","Canada","2016A000011124","Balances","Compensation of employees","All countries","Dollars","81","millions","6","v61914691","1.3.12.1","-12377","","","","0"
"2020","Canada","2016A000011124","Balances","Investment income","All countries","Dollars","81","millions","6","v61914699","1.3.13.1","15833","","","","0"
"2021","Canada","2016A000011124","Balances","Investment income","All countries","Dollars","81","millions","6","v61914699","1.3.13.1","7421","","","","0"
"2022","Canada","2016A000011124","Balances","Investment income","All countries","Dollars","81","millions","6","v61914699","1.3.13.1","-11988","","","","0"
"2023","Canada","2016A000011124","Balances","Investment income","All countries","Dollars","81","millions","6","v61914699","1.3.13.1","684","","","","0"
"2024","Canada","2016A000011124","Balances","Investment income","All countries","Dollars","81","millions","6","v61914699","1.3.13.1","10382","","","","0"
"2020","Canada","2016A000011124","Balances","Direct investment income","All countries","Dollars","81","millions","6","v61914707","1.3.14.1","44477","","","","0"
"2021","Canada","2016A000011124","Balances","Direct investment income","All countries","Dollars","81","millions","6","v61914707","1.3.14.1","35709","","","","0"
"2022","Canada","2016A000011124","Balances","Direct investment income","All countries","Dollars","81","millions","6","v61914707","1.3.14.1","26773","","","","0"
"2023","Canada","2016A000011124","Balances","Direct investment income","All countries","Dollars","81","millions","6","v61914707","1.3.14.1","51328","","","","0"
"2024","Canada","2016A000011124","Balances","Direct investment income","All countries","Dollars","81","millions","6","v61914707","1.3.14.1","64240","","","","0"
"2020","Canada","2016A000011124","Balances","Portfolio investment income","All countries","Dollars","81","millions","6","v61914715","1.3.15.1","-24840","","","","0"
"2021","Canada","2016A000011124","Balances","Portfolio investment income","All countries","Dollars","81","millions","6","v61914715","1.3.15.1","-21427","","","","0"
"2022","Canada","2016A000011124","Balances","Portfolio investment income","All countries","Dollars","81","millions","6","v61914715","1.3.15.1","-30486","","","","0"
"2023","Canada","2016A000011124","Balances","Portfolio investment income","All countries","Dollars","81","millions","6","v61914715","1.3.15.1","-43923","","","","0"
"2024","Canada","2016A000011124","Balances","Portfolio investment income","All countries","Dollars","81","millions","6","v61914715","1.3.15.1","-49150","","","","0"
"2020","Canada","2016A000011124","Balances","Other investment income","All countries","Dollars","81","millions","6","v61914723","1.3.16.1","-3804","","","","0"
"2021","Canada","2016A000011124","Balances","Other investment income","All countries","Dollars","81","millions","6","v61914723","1.3.16.1","-6860","","","","0"
"2022","Canada","2016A000011124","Balances","Other investment income","All countries","Dollars","81","millions","6","v61914723","1.3.16.1","-8275","","","","0"
"2023","Canada","2016A000011124","Balances","Other investment income","All countries","Dollars","81","millions","6","v61914723","1.3.16.1","-6720","","","","0"
"2024","Canada","2016A000011124","Balances","Other investment income","All countries","Dollars","81","millions","6","v61914723","1.3.16.1","-4708","","","","0"
"2020","Canada","2016A000011124","Balances","Secondary income","All countries","Dollars","81","millions","6","v61914731","1.3.17.1","-6394","","","","0"
"2021","Canada","2016A000011124","Balances","Secondary income","All countries","Dollars","81","millions","6","v61914731","1.3.17.1","-5100","","","","0"
"2022","Canada","2016A000011124","Balances","Secondary income","All countries","Dollars","81","millions","6","v61914731","1.3.17.1","-4405","","","","0"
"2023","Canada","2016A000011124","Balances","Secondary income","All countries","Dollars","81","millions","6","v61914731","1.3.17.1","-7929","","","","0"
"2024","Canada","2016A000011124","Balances","Secondary income","All countries","Dollars","81","millions","6","v61914731","1.3.17.1","-4014","","","","0"
"2020","Canada","2016A000011124","Balances","Private transfers","All countries","Dollars","81","millions","6","v61914739","1.3.18.1","-8853","","","","0"
"2021","Canada","2016A000011124","Balances","Private transfers","All countries","Dollars","81","millions","6","v61914739","1.3.18.1","-9316","","","","0"
"2022","Canada","2016A000011124","Balances","Private transfers","All countries","Dollars","81","millions","6","v61914739","1.3.18.1","-9867","","","","0"
"2023","Canada","2016A000011124","Balances","Private transfers","All countries","Dollars","81","millions","6","v61914739","1.3.18.1","-13852","","","","0"
"2024","Canada","2016A000011124","Balances","Private transfers","All countries","Dollars","81","millions","6","v61914739","1.3.18.1","-12011","","","","0"
"2020","Canada","2016A000011124","Balances","Government transfers","All countries","Dollars","81","millions","6","v61914749","1.3.23.1","2459","","","","0"
"2021","Canada","2016A000011124","Balances","Government transfers","All countries","Dollars","81","millions","6","v61914749","1.3.23.1","4216","","","","0"
"2022","Canada","2016A000011124","Balances","Government transfers","All countries","Dollars","81","millions","6","v61914749","1.3.23.1","5462","","","","0"
"2023","Canada","2016A000011124","Balances","Government transfers","All countries","Dollars","81","millions","6","v61914749","1.3.23.1","5923","","","","0"
"2024","Canada","2016A000011124","Balances","Government transfers","All countries","Dollars","81","millions","6","v61914749","1.3.23.1","7997","","","","0"
"2020","Canada","2016A000011124","Balances","Capital account","All countries","Dollars","81","millions","6","v61914760","1.3.27.1","-48","","","","0"
"2021","Canada","2016A000011124","Balances","Capital account","All countries","Dollars","81","millions","6","v61914760","1.3.27.1","-42","","","","0"
"2022","Canada","2016A000011124","Balances","Capital account","All countries","Dollars","81","millions","6","v61914760","1.3.27.1","-691","","","","0"
"2023","Canada","2016A000011124","Balances","Capital account","All countries","Dollars","81","millions","6","v61914760","1.3.27.1","-661","","","","0"
"2024","Canada","2016A000011124","Balances","Capital account","All countries","Dollars","81","millions","6","v61914760","1.3.27.1","-597","","","","0"


